contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST250919C00890000,2025-05-02 18:44:53+00:00,890.0,155.56,0.0,0.0,0.0,0.0,8,0,1.0000000000000003e-05,True,REGULAR,USD,155.56,False,False,False,0.5
COST250919C00900000,2025-05-08 17:00:45+00:00,900.0,142.5,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD,142.5,True,True,True,0.5
COST250919C00910000,2025-05-02 14:20:39+00:00,910.0,142.65,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,142.65,True,False,False,0.5
COST250919C00920000,2025-05-07 15:55:25+00:00,920.0,129.0,0.0,0.0,0.0,0.0,6,0,1.0000000000000003e-05,True,REGULAR,USD,129.0,True,True,True,0.5
COST250919C00930000,2025-05-06 17:03:49+00:00,930.0,125.15,0.0,0.0,0.0,0.0,2,0,1.0000000000000003e-05,True,REGULAR,USD,125.15,True,False,False,0.5
COST250919C00940000,2025-05-02 14:11:07+00:00,940.0,120.15,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,120.15,True,False,False,0.5
COST250919C00950000,2025-05-08 15:20:12+00:00,950.0,100.81,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,100.81,True,True,True,0.5
COST250919C00960000,2025-05-01 19:12:16+00:00,960.0,97.99,0.0,0.0,0.0,0.0,259,0,1.0000000000000003e-05,True,REGULAR,USD,97.99,True,True,True,0.5
COST250919C00970000,2025-05-05 19:58:18+00:00,970.0,99.82,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,99.82,False,False,False,0.5
COST250919C00980000,2025-05-07 13:50:02+00:00,980.0,89.0,0.0,0.0,0.0,0.0,13,0,1.0000000000000003e-05,True,REGULAR,USD,89.0,True,True,True,0.5
COST250919C00990000,2025-05-06 19:35:35+00:00,990.0,85.81,0.0,0.0,0.0,0.0,19,0,1.0000000000000003e-05,True,REGULAR,USD,85.81,True,False,False,0.5
COST250919C01000000,2025-05-08 17:54:38+00:00,1000.0,71.8,0.0,0.0,0.0,0.0,38,0,1.0000000000000003e-05,True,REGULAR,USD,71.8,True,True,True,0.5
COST250919C01020000,2025-05-08 16:09:04+00:00,1020.0,64.4,0.0,0.0,0.0,0.0,19,0,0.0039162109375,False,REGULAR,USD,64.4,True,False,False,0.5
COST250919C01040000,2025-05-08 17:04:02+00:00,1040.0,52.18,0.0,0.0,0.0,0.0,3,0,0.007822421875,False,REGULAR,USD,52.18,True,True,True,0.5
COST250919C01060000,2025-05-07 15:24:13+00:00,1060.0,47.35,0.0,0.0,0.0,0.0,2,0,0.015634843750000002,False,REGULAR,USD,47.35,True,False,False,0.5
COST250919C01080000,2025-05-08 16:17:34+00:00,1080.0,36.0,0.0,0.0,0.0,0.0,6,0,0.0312596875,False,REGULAR,USD,36.0,True,True,True,0.5
COST250919C01100000,2025-05-08 19:51:36+00:00,1100.0,31.6,0.0,0.0,0.0,0.0,7,0,0.0312596875,False,REGULAR,USD,31.6,True,False,False,0.5
COST250919C01120000,2025-05-08 17:22:24+00:00,1120.0,23.2,0.0,0.0,0.0,0.0,2,0,0.0312596875,False,REGULAR,USD,23.2,True,True,True,0.5
COST250919C01140000,2025-05-08 19:07:21+00:00,1140.0,18.6,0.0,0.0,0.0,0.0,4,0,0.0312596875,False,REGULAR,USD,18.6,True,True,True,0.5
COST250919C01160000,2025-05-08 19:42:25+00:00,1160.0,15.25,0.0,0.0,0.0,0.0,7,0,0.062509375,False,REGULAR,USD,15.25,True,False,False,0.5
COST250919C01180000,2025-04-29 17:40:41+00:00,1180.0,10.6,0.0,0.0,0.0,0.0,3,0,0.062509375,False,REGULAR,USD,10.6,True,True,True,0.5
COST250919C01200000,2025-05-08 19:25:42+00:00,1200.0,9.14,0.0,0.0,0.0,0.0,21,0,0.062509375,False,REGULAR,USD,9.14,True,True,True,0.5
COST250919C01220000,2025-05-01 17:27:58+00:00,1220.0,8.4,0.0,0.0,0.0,0.0,7,0,0.062509375,False,REGULAR,USD,8.4,True,False,False,0.5
COST250919C01240000,2025-05-01 13:30:02+00:00,1240.0,5.49,0.0,0.0,0.0,0.0,1,0,0.062509375,False,REGULAR,USD,5.49,True,True,False,0.5
COST250919C01260000,2025-05-08 14:13:35+00:00,1260.0,4.25,0.0,0.0,0.0,0.0,1,0,0.062509375,False,REGULAR,USD,4.25,True,False,False,0.5
COST250919C01280000,2025-04-08 15:51:46+00:00,1280.0,3.0,0.0,0.0,0.0,0.0,5,0,0.062509375,False,REGULAR,USD,3.0,True,True,False,0.5
COST250919C01300000,2025-05-08 18:39:29+00:00,1300.0,2.27,0.0,0.0,0.0,0.0,1,0,0.062509375,False,REGULAR,USD,2.27,True,True,False,0.5
COST250919C01320000,2025-04-24 17:11:16+00:00,1320.0,1.96,0.0,0.0,0.0,0.0,2,0,0.062509375,False,REGULAR,USD,1.96,True,True,False,0.5
COST250919C01340000,2025-05-05 19:53:18+00:00,1340.0,2.0,0.0,0.0,0.0,0.0,1,0,0.062509375,False,REGULAR,USD,2.0,True,False,False,0.5
COST250919C01360000,2025-03-13 13:51:50+00:00,1360.0,1.96,0.16,2.84,0.0,0.0,1,32,0.27600821655273433,False,REGULAR,USD,1.96,True,False,False,0.5
COST250919C01380000,2025-04-17 19:59:13+00:00,1380.0,1.6,0.0,0.0,0.0,0.0,1,0,0.12500875,False,REGULAR,USD,1.6,True,False,False,0.5
COST250919C01400000,2025-04-02 15:49:43+00:00,1400.0,1.13,0.16,2.5,0.0,0.0,1,37,0.29041236938476556,False,REGULAR,USD,1.13,True,True,False,0.5
COST250919C01420000,2025-04-21 16:01:38+00:00,1420.0,0.89,0.0,0.0,0.0,0.0,1,0,0.12500875,False,REGULAR,USD,0.89,True,True,False,0.5
COST250919C01440000,2025-03-19 15:08:54+00:00,1440.0,0.69,0.38,2.63,0.0,0.0,1,50,0.31287308227539057,False,REGULAR,USD,0.69,True,True,False,0.5
COST250919C01460000,2025-03-14 17:26:41+00:00,1460.0,0.8,0.0,0.0,0.0,0.0,1,49,0.12500875,False,REGULAR,USD,0.8,True,False,False,0.5
COST250919C01480000,2025-03-26 16:42:59+00:00,1480.0,0.51,0.14,2.01,0.0,0.0,8,55,0.3177558459472656,False,REGULAR,USD,0.51,True,True,False,0.5
COST250919C01500000,2025-04-30 18:56:15+00:00,1500.0,0.41,0.0,0.0,0.0,0.0,1,0,0.12500875,False,REGULAR,USD,0.41,True,True,False,0.5
COST250919C01520000,2025-03-07 20:24:35+00:00,1520.0,1.23,0.0,0.0,0.0,0.0,3,69,0.12500875,False,REGULAR,USD,1.23,False,False,False,0.5
COST250919C01540000,2025-03-25 14:50:12+00:00,1540.0,0.34,0.0,1.6,0.0,0.0,4,4,0.33264827514648443,False,REGULAR,USD,0.34,True,True,False,0.5
COST250919C01560000,2025-05-08 13:30:02+00:00,1560.0,0.9,0.0,0.0,0.0,0.0,1,0,0.12500875,False,REGULAR,USD,0.9,False,True,False,0.5
