Date,Open,High,Low,Close,Volume
2024-04-01,727.7765335214558,729.2783232587251,716.2794650311943,717.3137817382812,1600700
2024-04-02,716.0805080582626,716.0805080582626,704.5436797095937,707.4278564453125,2326700
2024-04-03,706.1150130473266,706.9405117153841,693.4742422085651,701.848388671875,3205500
2024-04-04,704.9117466112561,713.2262233998085,700.386466508803,701.0429077148438,2252400
2024-04-05,702.1964710659828,712.9874427720831,702.176621219004,709.8346557617188,1552300
2024-04-08,709.6258774846306,712.2415654178211,707.0002342759457,707.9351196289062,1459000
2024-04-09,712.3409789807569,715.1356796943643,703.1313781322226,714.67822265625,1388300
2024-04-10,707.1295058068202,720.0388267270023,705.0906776001367,718.646484375,1832000
2024-04-11,727.5179326770578,729.7954447485944,720.2079681609839,728.36328125,2107800
2024-04-12,724.0369397442768,728.910289581406,722.5848657868023,727.3289184570312,1480600
2024-04-15,731.4265383433128,736.9662242634876,714.0417135035635,714.3699340820312,1808000
2024-04-16,714.3898431522928,718.5669921329545,708.2534472197492,712.072509765625,1412300
2024-04-17,719.0642355355027,719.8598684688205,707.1295594270296,711.2967529296875,1376700
2024-04-18,711.2967894817122,715.0363312336651,705.7073874065819,707.3782348632812,1846400
2024-04-19,709.14850161372,710.9784511963228,698.1785165818868,705.6476440429688,2188900
2024-04-22,710.9685373857874,714.3500532550148,702.325840281113,711.5653076171875,1437100
2024-04-23,715.1158774444037,720.327342976545,712.4006973462448,718.7459716796875,1176200
2024-04-24,715.7921636482937,721.4809967624591,712.1918745621062,719.9494018554688,1206600
2024-04-25,724.4918039691562,724.4918039691562,711.6613535922784,719.0827026367188,1613600
2024-04-26,712.2490758051157,728.1377211946798,712.2490758051157,726.37451171875,1524400
2024-04-29,726.7232841898991,729.4327902594168,717.4490444937329,723.5355834960938,1526900
2024-04-30,722.7187182363486,722.7187182363486,714.3410404085388,720.1187744140625,1734800
2024-05-01,719.4911404487448,727.0519044516142,712.5678678861997,719.4412841796875,1609100
2024-05-02,721.9616537824022,731.5745514505873,717.8575096107843,729.6220703125,1826900
2024-05-03,731.4549804553131,744.6141177514847,730.5285050075094,741.0379638671875,2323300
2024-05-06,746.7060803680341,754.0277779146243,743.6079994651551,753.5396728515625,1773300
2024-05-07,755.7710271699623,769.2688828942748,752.6630358864418,768.3424682617188,1897800
2024-05-08,767.0375118257068,770.4144837750448,759.7755811668006,760.4728393554688,1511900
2024-05-09,760.8613682244918,776.710190649109,760.672096792383,776.042724609375,1716200
2024-05-10,776.0427088464266,784.4203863602585,775.1660896839735,784.161376953125,1652700
2024-05-13,784.9681993578297,786.4424856568645,770.6036967946875,772.1676635742188,1596800
2024-05-14,771.9485605606305,777.8059429671412,768.4620263091518,774.9071655273438,1327700
2024-05-15,775.5247836230465,786.6218779799938,775.5247836230465,784.011962890625,1661700
2024-05-16,788.7635758079576,801.4645212652765,784.7989079762095,790.0187377929688,2000000
2024-05-17,790.556682012474,794.531321317891,787.5682240925717,792.7482299804688,1309100
