contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST250620P00255000,2025-03-19 13:47:13+00:00,255.0,0.53,0.0,0.48,0.0,0.0,1.0,223,1.3378939355468746,False,REGULAR,USD,0.24,True,True,True,0.25
COST250620P00265000,2025-03-06 18:14:30+00:00,265.0,0.15,0.0,2.67,0.0,0.0,20.0,33,1.590822358398437,False,REGULAR,USD,1.335,True,False,False,0.25
COST250620P00270000,2023-12-22 18:34:30+00:00,270.0,1.39,0.0,0.0,0.0,0.0,5.0,169,0.500005,False,REGULAR,USD,1.39,True,False,False,0.25
COST250620P00275000,2025-03-06 18:13:57+00:00,275.0,0.04,0.0,2.87,0.0,0.0,1.0,28,1.5634787451171874,False,REGULAR,USD,1.435,True,True,False,0.25
COST250620P00280000,2023-12-21 14:30:54+00:00,280.0,4.0,0.0,0.0,0.0,0.0,1.0,9,0.500005,False,REGULAR,USD,4.0,True,False,False,0.25
COST250620P00285000,2025-04-21 13:30:02+00:00,285.0,0.04,0.0,0.6,0.0,0.0,3.0,29,1.2607458837890624,False,REGULAR,USD,0.3,False,True,False,0.25
COST250620P00290000,2023-12-15 14:32:05+00:00,290.0,4.0,0.0,0.0,0.0,0.0,1.0,4,0.500005,False,REGULAR,USD,4.0,True,False,False,0.25
COST250620P00295000,2024-12-17 17:32:34+00:00,295.0,0.11,0.0,0.4,0.0,0.0,1.0,152,1.1777384863281248,False,REGULAR,USD,0.2,False,True,False,0.25
COST250620P00300000,2023-12-22 17:43:21+00:00,300.0,1.9,0.0,0.0,0.0,0.0,1.0,20,0.500005,False,REGULAR,USD,1.9,True,False,False,0.25
COST250620P00305000,2025-04-07 13:31:59+00:00,305.0,0.55,0.0,0.3,0.0,0.0,5.0,42,1.115238798828125,False,REGULAR,USD,0.15,False,True,False,0.25
COST250620P00310000,2023-12-22 16:15:36+00:00,310.0,2.19,0.0,0.0,0.0,0.0,21.0,144,0.500005,False,REGULAR,USD,2.19,True,False,False,0.25
COST250620P00315000,2024-12-16 05:01:37+00:00,315.0,0.21,0.0,2.65,0.0,0.0,2.0,12,1.390139768066406,False,REGULAR,USD,1.325,False,True,False,0.25
COST250620P00320000,2023-12-11 17:44:46+00:00,320.0,2.31,0.0,0.0,0.0,0.0,2.0,15,0.500005,False,REGULAR,USD,2.31,True,False,False,0.25
COST250620P00325000,2024-12-16 05:01:37+00:00,325.0,0.23,0.0,4.35,0.0,0.0,2.0,35,1.455080849609375,False,REGULAR,USD,2.175,True,True,True,0.25
COST250620P00330000,2024-12-16 05:01:37+00:00,330.0,0.23,0.0,4.45,0.0,0.0,2.0,4,1.44140904296875,False,REGULAR,USD,2.225,True,False,False,0.25
