contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean
COST250620C00630000,2023-12-18 17:52:25+00:00,630.0,117.95,0.0,0.0,0.0,0.0,2.0,40.0,1.0000000000000003e-05,True,REGULAR,USD,117.95,True,True,False
COST250620C00635000,2025-04-28 13:31:49+00:00,635.0,349.98,356.9,365.0,0.0,0.0,1.0,40.0,0.7142362561035156,True,REGULAR,USD,360.95,False,False,False
COST250620C00640000,2025-03-14 18:31:50+00:00,640.0,274.0,0.0,0.0,0.0,0.0,4.0,19.0,1.0000000000000003e-05,True,REGULAR,USD,274.0,True,True,True
COST250620C00645000,2025-03-18 13:40:14+00:00,645.0,274.0,0.0,0.0,0.0,0.0,3.0,139.0,1.0000000000000003e-05,True,REGULAR,USD,274.0,True,True,True
COST250620C00650000,2025-04-16 17:41:02+00:00,650.0,323.34,342.2,350.05,0.0,0.0,1.0,1.0,0.6843903631591797,True,REGULAR,USD,346.125,False,False,False
COST250620C00655000,2025-03-26 15:40:55+00:00,655.0,283.35,322.35,330.2,0.0,0.0,1.0,27.0,1.0000000000000003e-05,True,REGULAR,USD,326.275,True,True,True
COST250620C00660000,2025-04-24 17:26:25+00:00,660.0,313.62,335.55,341.3,0.0,0.0,3.0,28.0,0.6022378643798829,True,REGULAR,USD,338.425,False,False,False
COST250620C00665000,2025-04-30 13:57:50+00:00,665.0,317.89,328.85,337.0,0.0,0.0,20.0,175.0,0.569340244140625,True,REGULAR,USD,332.925,True,False,False
COST250620C00670000,2023-12-21 17:07:55+00:00,670.0,85.0,0.0,0.0,0.0,0.0,4.0,45.0,1.0000000000000003e-05,True,REGULAR,USD,85.0,True,True,False
COST250620C00675000,2025-04-03 14:18:12+00:00,675.0,295.66,318.95,326.6,0.0,0.0,1.0,143.0,0.5435836657714845,True,REGULAR,USD,322.775,False,False,False
COST250620C00680000,2025-03-19 19:20:44+00:00,680.0,238.77,317.7,324.95,0.0,0.0,1.0,10.0,0.6600986138916016,True,REGULAR,USD,321.325,True,False,False
COST250620C00685000,2025-04-03 14:18:12+00:00,685.0,285.99,311.0,318.0,0.0,0.0,1.0,201.0,0.5952188916015625,True,REGULAR,USD,314.5,True,False,False
COST250620C00690000,2023-12-22 15:49:49+00:00,690.0,81.05,0.0,0.0,0.0,0.0,1.0,47.0,1.0000000000000003e-05,True,REGULAR,USD,81.05,True,True,False
COST250620C00695000,2025-03-31 17:13:54+00:00,695.0,255.0,301.1,308.0,0.0,0.0,4.0,74.0,0.5773968041992188,True,REGULAR,USD,304.55,False,False,False
COST250620C00700000,2025-04-30 13:52:11+00:00,700.0,284.3,296.2,301.05,0.0,0.0,1.0,215.0,0.5355271057128907,True,REGULAR,USD,298.625,True,True,True
COST250620C00705000,2025-04-30 17:39:00+00:00,705.0,292.45,289.5,298.2,0.0,0.0,1.0,26.0,0.5346115875244142,True,REGULAR,USD,293.85,True,False,False
COST250620C00710000,2023-12-20 19:44:14+00:00,710.0,68.57,0.0,0.0,0.0,0.0,4.0,15.0,1.0000000000000003e-05,True,REGULAR,USD,68.57,True,True,False
COST250620C00715000,2025-04-08 18:35:45+00:00,715.0,215.0,279.3,286.1,0.0,0.0,1.0,55.0,0.5824016369628906,True,REGULAR,USD,282.70000000000005,False,False,False
COST250620C00720000,2025-04-07 19:59:42+00:00,720.0,206.25,274.85,282.0,0.0,0.0,4.0,15.0,0.5940897525024414,True,REGULAR,USD,278.425,True,True,False
COST250620C00725000,2025-04-28 19:39:45+00:00,725.0,258.48,271.35,279.0,0.0,0.0,4.0,181.0,0.5382736602783205,True,REGULAR,USD,275.175,True,False,False
COST250620C00730000,2023-12-19 20:59:18+00:00,730.0,65.05,0.0,0.0,0.0,0.0,3.0,35.0,1.0000000000000003e-05,True,REGULAR,USD,65.05,True,True,False
COST250620C00735000,2025-04-07 19:55:35+00:00,735.0,193.15,261.5,268.95,0.0,0.0,8.0,33.0,0.5204820901489257,True,REGULAR,USD,265.225,False,False,False
COST250620C00740000,2025-04-07 19:59:42+00:00,740.0,187.11,256.35,264.3,0.0,0.0,4.0,25.0,0.513554669189453,True,REGULAR,USD,260.32500000000005,True,False,False
COST250620C00745000,2025-04-28 14:53:43+00:00,745.0,242.0,250.55,257.2,0.0,0.0,5.0,39.0,0.5477645321655275,True,REGULAR,USD,253.875,True,False,False
COST250620C00750000,2023-12-22 20:19:51+00:00,750.0,53.17,0.0,0.0,0.0,0.0,3.0,17.0,1.0000000000000003e-05,True,REGULAR,USD,53.17,True,True,False
COST250620C00755000,2025-04-17 14:38:56+00:00,755.0,231.74,241.75,248.55,0.0,0.0,2.0,50.0,0.5545088494873047,True,REGULAR,USD,245.15,False,False,False
COST250620C00760000,2025-04-16 19:31:39+00:00,760.0,212.35,238.0,245.0,0.0,0.0,3.0,45.0,0.5029346582031251,True,REGULAR,USD,241.5,True,False,False
COST250620C00765000,2025-03-24 19:25:40+00:00,765.0,172.07,211.65,216.55,0.0,0.0,1.0,12.0,1.0000000000000003e-05,True,REGULAR,USD,214.10000000000002,True,True,True
COST250620C00770000,2025-04-07 13:30:28+00:00,770.0,146.28,226.6,232.75,0.0,0.0,2.0,1.0,0.5087329400634766,True,REGULAR,USD,229.675,False,False,False
COST250620C00775000,2025-04-07 18:54:47+00:00,775.0,159.05,222.0,228.75,0.0,0.0,5.0,11.0,0.5170946728515625,True,REGULAR,USD,225.375,True,False,False
COST250620C00780000,2025-04-09 17:10:17+00:00,780.0,161.5,217.15,223.9,0.0,0.0,9.0,66.0,0.5095263891601562,True,REGULAR,USD,220.525,True,False,False
COST250620C00785000,2025-04-08 19:36:46+00:00,785.0,148.85,212.0,219.05,0.0,0.0,4.0,27.0,0.5018970709228516,True,REGULAR,USD,215.525,True,False,False
COST250620C00790000,2025-04-17 16:01:39+00:00,790.0,207.81,207.25,213.55,0.0,0.0,1.0,1.0,0.4831594653320313,True,REGULAR,USD,210.4,True,True,False
COST250620C00795000,2025-04-30 13:30:09+00:00,795.0,200.0,202.5,209.55,0.0,0.0,1.0,17.0,0.48969016174316415,True,REGULAR,USD,206.025,True,True,False
COST250620C00800000,2025-04-30 13:30:06+00:00,800.0,196.55,198.4,205.35,0.0,0.0,1.0,558.0,0.4919484399414063,True,REGULAR,USD,201.875,True,True,False
COST250620C00805000,2025-04-14 19:30:49+00:00,805.0,192.17,194.75,201.3,0.0,0.0,2.0,61.0,0.49564102996826176,True,REGULAR,USD,198.025,True,False,False
COST250620C00810000,2023-12-22 18:20:22+00:00,810.0,33.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0000000000000003e-05,True,REGULAR,USD,33.0,True,True,False
COST250620C00815000,2025-04-24 14:46:56+00:00,815.0,170.5,183.95,189.8,0.0,0.0,1.0,56.0,0.45261167510986333,True,REGULAR,USD,186.875,False,False,False
COST250620C00820000,2025-04-07 14:01:04+00:00,820.0,114.7,180.85,185.55,0.0,0.0,3.0,100.0,0.45337460693359377,True,REGULAR,USD,183.2,True,False,False
COST250620C00825000,2025-04-21 19:24:16+00:00,825.0,142.52,176.05,182.55,0.0,0.0,5.0,79.0,0.4703422106933594,True,REGULAR,USD,179.3,True,False,False
COST250620C00830000,2025-04-15 13:33:06+00:00,830.0,166.6,170.15,176.7,0.0,0.0,5.0,10.0,0.4484308087158203,True,REGULAR,USD,173.425,True,True,False
COST250620C00835000,2025-04-22 14:49:54+00:00,835.0,165.0,164.9,171.55,0.0,0.0,1.0,195.0,0.4359187268066406,True,REGULAR,USD,168.22500000000002,True,True,False
COST250620C00840000,2025-04-22 16:45:34+00:00,840.0,159.53,161.85,167.6,0.0,0.0,1.0,132.0,0.43887890228271487,True,REGULAR,USD,164.725,True,False,False
COST250620C00845000,2025-04-23 19:50:00+00:00,845.0,145.35,157.1,164.8,0.0,0.0,1.0,198.0,0.4547173669433594,True,REGULAR,USD,160.95,True,False,False
COST250620C00850000,2025-04-29 16:27:30+00:00,850.0,148.12,151.75,156.8,0.0,0.0,1.0,5.0,0.40761395614624024,True,REGULAR,USD,154.275,True,True,False
COST250620C00855000,2025-04-14 16:11:02+00:00,855.0,140.05,146.65,154.3,0.0,0.0,1.0,86.0,0.426885614013672,True,REGULAR,USD,150.47500000000002,True,False,False
COST250620C00860000,2025-04-28 14:36:44+00:00,860.0,133.59,143.7,148.8,0.0,0.0,1.0,151.0,0.41022318298339844,True,REGULAR,USD,146.25,True,False,False
COST250620C00865000,2025-04-29 15:37:21+00:00,865.0,136.64,137.65,144.25,0.0,0.0,80.0,291.0,0.40442490112304685,True,REGULAR,USD,140.95,True,True,False
COST250620C00870000,2025-04-29 14:46:42+00:00,870.0,129.2,133.2,139.6,0.0,0.0,2.0,8.0,0.39731437652587887,True,REGULAR,USD,136.39999999999998,True,False,False
COST250620C00875000,2025-04-29 14:15:17+00:00,875.0,124.12,127.05,134.7,0.0,0.0,1.0,75.0,0.3873657455444336,True,REGULAR,USD,130.875,True,True,False
COST250620C00880000,2025-04-30 14:23:23+00:00,880.0,116.73,125.3,130.8,0.0,0.0,2.0,342.0,0.3878235046386719,True,REGULAR,USD,128.05,True,False,False
COST250620C00885000,2025-04-28 17:13:57+00:00,885.0,107.04,121.3,126.9,0.0,0.0,2.0,89.0,0.38767091827392575,True,REGULAR,USD,124.1,True,False,False
COST250620C00890000,2025-05-01 13:30:10+00:00,890.0,114.88,117.4,121.8,6.5099945,6.007192,1.0,252.0,0.37525038818359374,True,REGULAR,USD,119.6,True,True,False
COST250620C00895000,2025-04-25 16:19:27+00:00,895.0,95.82,112.75,117.45,0.0,0.0,5.0,141.0,0.37007771041870113,True,REGULAR,USD,115.1,True,True,False
COST250620C00900000,2025-04-30 14:57:56+00:00,900.0,106.78,109.15,114.0,1.6299973,1.5501637,1.0,337.0,0.3729921099853516,True,REGULAR,USD,111.575,True,False,False
COST250620C00905000,2025-04-30 14:58:15+00:00,905.0,101.05,104.95,110.15,0.0,0.0,4.0,412.0,0.3715577981567383,True,REGULAR,USD,107.55000000000001,True,False,False
COST250620C00910000,2025-04-30 16:30:19+00:00,910.0,98.12,100.7,105.8,0.0,0.0,36.0,202.0,0.36525598129272463,True,REGULAR,USD,103.25,True,False,False
COST250620C00915000,2025-04-29 19:52:18+00:00,915.0,96.7,95.7,101.6,0.0,0.0,4.0,120.0,0.35997649307250973,True,REGULAR,USD,98.65,True,True,False
COST250620C00920000,2025-05-01 13:30:10+00:00,920.0,90.9,92.85,97.05,-2.449997,-2.6245282,1.0,325.0,0.35143165664672843,True,REGULAR,USD,94.94999999999999,True,False,False
COST250620C00925000,2025-04-30 19:20:53+00:00,925.0,89.46,88.75,92.8,0.0,0.0,1.0,268.0,0.34517561569213867,True,REGULAR,USD,90.775,True,False,False
COST250620C00930000,2025-04-29 19:50:03+00:00,930.0,84.95,83.2,89.1,0.0,0.0,6.0,163.0,0.3430394065856933,True,REGULAR,USD,86.15,True,True,False
COST250620C00935000,2025-04-28 19:38:33+00:00,935.0,72.19,81.25,85.65,0.0,0.0,1.0,20.0,0.34239854385375973,True,REGULAR,USD,83.45,True,False,False
COST250620C00940000,2025-04-30 19:53:56+00:00,940.0,81.92,75.65,82.05,0.0,0.0,12.0,412.0,0.34003345520019534,True,REGULAR,USD,78.85,True,True,False
COST250620C00945000,2025-04-30 17:22:27+00:00,945.0,73.63,73.45,78.9,0.0,0.0,2.0,891.0,0.34059802474975587,True,REGULAR,USD,76.17500000000001,True,True,False
COST250620C00950000,2025-05-01 13:37:32+00:00,950.0,73.71,71.55,75.6,4.1900024,6.027046,2.0,95.0,0.33943836837768554,True,REGULAR,USD,73.57499999999999,True,False,False
COST250620C00955000,2025-04-30 19:21:25+00:00,955.0,67.75,68.2,72.25,0.0,0.0,2.0,125.0,0.3373784524536133,True,REGULAR,USD,70.225,True,False,False
COST250620C00960000,2025-04-30 15:47:00+00:00,960.0,63.1,63.55,66.75,0.0,0.0,10.0,674.0,0.3193580027770995,True,REGULAR,USD,65.15,True,True,False
COST250620C00965000,2025-04-30 16:50:54+00:00,965.0,61.0,60.45,64.0,0.0,0.0,2.0,390.0,0.3207770559692382,True,REGULAR,USD,62.225,True,False,False
COST250620C00970000,2025-05-01 13:30:02+00:00,970.0,57.0,56.9,61.1,-1.7000008,-2.896083,1.0,58.0,0.3205024005126953,True,REGULAR,USD,59.0,True,False,False
COST250620C00975000,2025-04-30 19:50:10+00:00,975.0,56.8,53.5,57.9,0.0,0.0,3.0,73.0,0.31757274230957033,True,REGULAR,USD,55.7,True,True,False
COST250620C00980000,2025-05-01 13:37:04+00:00,980.0,54.07,50.45,54.6,1.3699989,2.5996184,11.0,681.0,0.31343765182495115,True,REGULAR,USD,52.525000000000006,True,False,False
COST250620C00985000,2025-04-30 17:30:01+00:00,985.0,48.7,46.95,50.15,0.0,0.0,7.0,409.0,0.30093319923400885,True,REGULAR,USD,48.55,True,True,False
COST250620C00990000,2025-05-01 13:37:05+00:00,990.0,49.2,44.0,48.4,1.0499992,2.1806836,2.0,93.0,0.3062813513183594,True,REGULAR,USD,46.2,True,False,False
COST250620C00995000,2025-05-01 13:30:01+00:00,995.0,43.0,41.9,44.75,-2.4000015,-5.286347,2.0,77.0,0.2981637567138671,True,REGULAR,USD,43.325,True,True,False
COST250620C01000000,2025-05-01 13:39:54+00:00,1000.0,42.11,40.0,42.6,-0.040000916,-0.09490134,5.0,1375.0,0.2995980685424804,False,REGULAR,USD,41.3,True,False,False
COST250620C01005000,2025-04-30 19:46:52+00:00,1005.0,39.5,37.4,39.8,0.0,0.0,19.0,600.0,0.2960580648803711,False,REGULAR,USD,38.599999999999994,True,True,False
COST250620C01010000,2025-04-30 13:40:23+00:00,1010.0,29.27,34.8,37.2,0.0,0.0,1.0,33.0,0.29325047576904284,False,REGULAR,USD,36.0,True,False,False
COST250620C01015000,2025-04-30 18:02:18+00:00,1015.0,32.8,32.15,34.6,0.0,0.0,3.0,31.0,0.2898172825622558,False,REGULAR,USD,33.375,True,False,False
COST250620C01020000,2025-04-30 18:59:45+00:00,1020.0,29.37,28.95,32.3,0.0,0.0,113.0,592.0,0.28780314254760736,False,REGULAR,USD,30.625,True,True,False
COST250620C01025000,2025-04-30 16:45:11+00:00,1025.0,27.65,27.85,30.15,0.0,0.0,7.0,441.0,0.2861857270812988,False,REGULAR,USD,29.0,True,False,False
COST250620C01030000,2025-04-30 15:20:37+00:00,1030.0,24.45,25.85,28.0,0.0,0.0,1.0,25.0,0.28392744888305654,False,REGULAR,USD,26.925,True,False,False
COST250620C01035000,2025-04-29 19:39:10+00:00,1035.0,22.5,23.1,25.8,0.0,0.0,2.0,8.0,0.28066210067749015,False,REGULAR,USD,24.450000000000003,True,True,False
COST250620C01040000,2025-05-01 13:30:44+00:00,1040.0,21.7,21.3,23.4,-1.7999992,-7.659571,1.0,1428.0,0.2752452847290039,False,REGULAR,USD,22.35,True,True,False
COST250620C01045000,2025-04-30 17:53:04+00:00,1045.0,21.5,19.25,21.7,0.0,0.0,2.0,10.0,0.27416192153930663,False,REGULAR,USD,20.475,True,True,False
COST250620C01050000,2025-05-01 13:30:44+00:00,1050.0,18.72,18.3,20.15,-1.0799999,-5.4545455,2.0,87.0,0.27353631744384765,False,REGULAR,USD,19.225,True,False,False
