contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid,monotonic_clean,butterfly_clean,is_clean,maturity_T
COST250919P00970000,2025-05-08 15:25:06+00:00,970.0,43.68,0.0,0.0,0.0,0.0,2.0,0,0.015634843750000002,False,REGULAR,USD,43.68,True,False,False,0.5
COST250919P00980000,2025-05-06 16:55:20+00:00,980.0,45.65,0.0,0.0,0.0,0.0,2.0,0,0.007822421875,False,REGULAR,USD,45.65,True,False,False,0.5
COST250919P00990000,2025-05-08 19:39:25+00:00,990.0,47.04,0.0,0.0,0.0,0.0,5.0,0,0.007822421875,False,REGULAR,USD,47.04,True,True,True,0.5
COST250919P01000000,2025-05-08 15:26:50+00:00,1000.0,54.95,0.0,0.0,0.0,0.0,6.0,0,0.0039162109375,False,REGULAR,USD,54.95,True,True,True,0.5
COST250919P01020000,2025-05-08 15:25:38+00:00,1020.0,65.05,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,65.05,True,False,False,0.5
COST250919P01040000,2025-05-07 15:52:05+00:00,1040.0,74.5,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,74.5,True,False,False,0.5
COST250919P01060000,2025-05-06 19:18:52+00:00,1060.0,82.7,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,82.7,True,True,True,0.5
COST250919P01080000,2025-05-06 19:17:42+00:00,1080.0,94.55,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,94.55,True,True,True,0.5
COST250919P01100000,2025-05-06 16:00:05+00:00,1100.0,107.91,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,107.91,True,True,True,0.5
COST250919P01120000,2025-04-07 14:10:36+00:00,1120.0,226.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,226.15,True,False,False,0.5
COST250919P01140000,2025-05-06 19:19:49+00:00,1140.0,137.65,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,137.65,False,True,False,0.5
COST250919P01160000,2025-03-27 15:34:31+00:00,1160.0,222.68,184.0,188.75,0.0,0.0,10.0,0,0.3584811466979981,True,REGULAR,USD,222.68,True,False,False,0.5
COST250919P01180000,2025-03-04 19:56:22+00:00,1180.0,149.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,149.0,False,True,False,0.5
COST250919P01200000,2025-03-12 18:28:51+00:00,1200.0,270.83,232.85,242.0,0.0,0.0,2.0,0,0.46234668518066413,True,REGULAR,USD,270.83,True,False,False,0.5
COST250919P01220000,2024-12-30 20:28:55+00:00,1220.0,297.02,236.5,243.45,0.0,0.0,2.0,0,0.39169919830322264,True,REGULAR,USD,297.02,True,True,True,0.5
